session_id;user_id;item_id;timeframe;eventdate
1;;10182;1523318400;2018-04-10
1;;152892;1523318400;2018-04-10
1;;1;1523404800;2018-04-11
2;;10377;1519689600;2018-02-27
2;;1;1523318400;2018-04-10
2;;92094;1523318400;2018-04-10
3;;46760;1522800000;2018-04-4
3;;157506;1522800000;2018-04-4
3;;1;1523232000;2018-04-9
3;;446;1523232000;2018-04-9
3;;2217;1523232000;2018-04-9
4;;142877;1521417600;2018-03-19
4;;17052;1521417600;2018-03-19
4;;320726;1521417600;2018-03-19
4;;62619;1521590400;2018-03-21
4;;1;1522454400;2018-03-31
4;;448;1522454400;2018-03-31
4;;16462;1522454400;2018-03-31
4;;63928;1522454400;2018-03-31
4;;5100;1522454400;2018-03-31
4;;153259;1522454400;2018-03-31
4;;198720;1522454400;2018-03-31
4;;271539;1522454400;2018-03-31
4;;122859;1520208000;2018-03-5
4;;19138;1520208000;2018-03-5
5;;1;1521590400;2018-03-21
5;;1667;1521590400;2018-03-21
5;;1812;1521590400;2018-03-21
5;;17513;1523923200;2018-04-17
5;;1183;1523923200;2018-04-17
5;;146385;1523923200;2018-04-17
5;;14216;1523923200;2018-04-17
5;;225565;1523923200;2018-04-17
6;;1;1521072000;2018-03-15
6;;6278;1521072000;2018-03-15
6;;32765;1522627200;2018-04-2
7;;1;1520985600;2018-03-14
7;;509;1520985600;2018-03-14
7;;518;1520985600;2018-03-14
7;;101809;1520985600;2018-03-14
7;;228457;1521072000;2018-03-15
7;;282659;1522713600;2018-04-3
7;;118;1522800000;2018-04-4
7;;107080;1522800000;2018-04-4
8;;1;1520640000;2018-03-10
8;;1872;1520640000;2018-03-10
8;;32640;1520640000;2018-03-10
8;;39579;1520640000;2018-03-10
8;;56070;1520640000;2018-03-10
8;;8971;1520640000;2018-03-10
8;;310332;1520640000;2018-03-10
9;;1;1520553600;2018-03-9
9;;6245;1520553600;2018-03-9
10;;1;1520380800;2018-03-7
10;;47268;1520380800;2018-03-7
10;;79187;1520380800;2018-03-7
10;;84260;1520380800;2018-03-7
10;;117231;1520380800;2018-03-7
10;;172855;1520380800;2018-03-7
10;;261071;1520380800;2018-03-7
10;;368116;1520380800;2018-03-7
10;;386969;1520380800;2018-03-7
11;;1;1519862400;2018-03-1
11;;3376;1519862400;2018-03-1
11;;5007;1519862400;2018-03-1
11;;8711;1519862400;2018-03-1
11;;8774;1519862400;2018-03-1
11;;8915;1519862400;2018-03-1
11;;10170;1519862400;2018-03-1
11;;14213;1519862400;2018-03-1
11;;17534;1519862400;2018-03-1
11;;20591;1519862400;2018-03-1
11;;22893;1519862400;2018-03-1
11;;377;1519862400;2018-03-1
11;;41409;1519862400;2018-03-1
11;;61908;1519862400;2018-03-1
11;;3348;1519862400;2018-03-1
11;;64601;1519862400;2018-03-1
11;;65215;1519862400;2018-03-1
11;;65235;1519862400;2018-03-1
11;;65258;1519862400;2018-03-1
11;;65289;1519862400;2018-03-1
11;;65294;1519862400;2018-03-1
11;;65374;1519862400;2018-03-1
11;;65382;1519862400;2018-03-1
11;;65424;1519862400;2018-03-1
11;;89075;1519862400;2018-03-1
11;;91360;1519862400;2018-03-1
11;;96945;1519862400;2018-03-1
11;;96967;1519862400;2018-03-1
11;;96985;1519862400;2018-03-1
11;;96986;1519862400;2018-03-1
11;;96998;1519862400;2018-03-1
11;;97012;1519862400;2018-03-1
11;;97062;1519862400;2018-03-1
11;;97090;1519862400;2018-03-1
11;;97157;1519862400;2018-03-1
11;;97165;1519862400;2018-03-1
11;;97213;1519862400;2018-03-1
11;;97237;1519862400;2018-03-1
11;;97251;1519862400;2018-03-1
11;;97363;1519862400;2018-03-1
11;;97422;1519862400;2018-03-1
11;;97455;1519862400;2018-03-1
11;;97500;1519862400;2018-03-1
11;;97515;1519862400;2018-03-1
11;;97710;1519862400;2018-03-1
11;;97731;1519862400;2018-03-1
11;;97912;1519862400;2018-03-1
11;;97916;1519862400;2018-03-1
11;;97934;1519862400;2018-03-1
11;;100782;1519862400;2018-03-1
11;;118406;1519862400;2018-03-1
11;;118488;1519862400;2018-03-1
11;;118518;1519862400;2018-03-1
11;;136103;1519862400;2018-03-1
11;;139044;1519862400;2018-03-1
11;;151009;1519862400;2018-03-1
11;;11061;1519862400;2018-03-1
11;;205649;1519862400;2018-03-1
11;;208766;1519862400;2018-03-1
11;;208796;1519862400;2018-03-1
11;;223893;1519862400;2018-03-1
11;;22771;1519862400;2018-03-1
11;;24376;1519862400;2018-03-1
11;;283020;1519862400;2018-03-1
11;;289243;1519862400;2018-03-1
12;;1;1516924800;2018-01-26
12;;7369;1516924800;2018-01-26
