session_id;user_id;item_id;timeframe;eventdate
1;;1;1522540800;2018-04-1
1;;5884;1522540800;2018-04-1
1;;8531;1522540800;2018-04-1
1;;14305;1522540800;2018-04-1
1;;17331;1522540800;2018-04-1
2;;6333;1519171200;2018-02-21
2;;1;1522368000;2018-03-30
2;;53354;1522368000;2018-03-30
2;;17954;1528416000;2018-06-8
2;;3478;1528416000;2018-06-8
3;;14160;1515628800;2018-01-11
3;;90452;1515628800;2018-01-11
3;;18626;1515974400;2018-01-15
3;;260;1516233600;2018-01-18
3;;3338;1516233600;2018-01-18
3;;1556;1516665600;2018-01-23
3;;6294;1516665600;2018-01-23
3;;9234;1516665600;2018-01-23
3;;18592;1516665600;2018-01-23
3;;18867;1516665600;2018-01-23
3;;19113;1516665600;2018-01-23
3;;25108;1516665600;2018-01-23
3;;26925;1516665600;2018-01-23
3;;146;1516752000;2018-01-24
3;;11973;1517011200;2018-01-27
3;;7723;1521504000;2018-03-20
3;;9877;1521504000;2018-03-20
3;;804;1521504000;2018-03-20
3;;52774;1521504000;2018-03-20
3;;61838;1521504000;2018-03-20
3;;3017;1521936000;2018-03-25
3;;1;1522368000;2018-03-30
3;;24884;1522368000;2018-03-30
3;;34208;1522368000;2018-03-30
3;;12368;1522368000;2018-03-30
3;;2408;1520294400;2018-03-6
3;;7442;1520294400;2018-03-6
3;;27722;1520294400;2018-03-6
3;;35904;1520294400;2018-03-6
3;;72767;1520294400;2018-03-6
3;;13718;1520294400;2018-03-6
3;;99100;1520294400;2018-03-6
3;;11924;1522627200;2018-04-2
3;;17625;1522627200;2018-04-2
3;;21781;1522627200;2018-04-2
3;;7533;1525824000;2018-05-9
3;;7947;1525824000;2018-05-9
3;;16453;1529884800;2018-06-25
3;;3558;1529884800;2018-06-25
3;;6532;1529884800;2018-06-25
3;;72213;1530144000;2018-06-28
4;;1;1522108800;2018-03-27
4;;16453;1533254400;2018-08-3
5;;18343;1518393600;2018-02-12
5;;1;1522022400;2018-03-26
5;;830;1522022400;2018-03-26
5;;830;1522022400;2018-03-26
5;;8145;1522022400;2018-03-26
5;;51412;1522022400;2018-03-26
6;;1;1521504000;2018-03-20
6;;17102;1521504000;2018-03-20
7;;1;1521072000;2018-03-15
7;;1434;1521072000;2018-03-15
7;;6955;1521072000;2018-03-15
8;;7792;1522195200;2018-03-28
8;;1;1520380800;2018-03-7
8;;14189;1520380800;2018-03-7
9;;10457;1520812800;2018-03-12
9;;1;1520294400;2018-03-6
10;;13035;1522454400;2018-03-31
10;;1;1520208000;2018-03-5
11;;73212;1516492800;2018-01-21
11;;1;1519776000;2018-02-28
11;;15714;1519776000;2018-02-28
11;;68751;1521331200;2018-03-18
11;;4953;1532131200;2018-07-21
11;;65543;1532131200;2018-07-21
11;;13349;1532131200;2018-07-21
12;;17800;1518220800;2018-02-10
12;;54208;1518393600;2018-02-12
12;;566;1517529600;2018-02-2
12;;2060;1517529600;2018-02-2
12;;10923;1517529600;2018-02-2
12;;2897;1519603200;2018-02-26
12;;11222;1519603200;2018-02-26
12;;25545;1519603200;2018-02-26
12;;1;1519776000;2018-02-28
12;;441;1519776000;2018-02-28
12;;9500;1519776000;2018-02-28
12;;34963;1519776000;2018-02-28
12;;367;1517788800;2018-02-5
12;;113;1520812800;2018-03-12
12;;94280;1521244800;2018-03-17
12;;602;1521590400;2018-03-21
12;;4976;1520380800;2018-03-7
12;;15180;1520380800;2018-03-7
12;;96201;1520380800;2018-03-7
12;;14601;1523491200;2018-04-12
12;;26143;1523491200;2018-04-12
12;;3251;1524096000;2018-04-19
12;;15194;1522800000;2018-04-4
12;;16696;1522800000;2018-04-4
12;;7606;1522972800;2018-04-6
12;;1560;1522972800;2018-04-6
12;;1416;1525564800;2018-05-6
12;;4024;1525564800;2018-05-6
12;;9429;1525564800;2018-05-6
12;;14767;1525564800;2018-05-6
13;;1;1519171200;2018-02-21
13;;2633;1519171200;2018-02-21
14;;1;1518998400;2018-02-19
14;;8616;1523923200;2018-04-17
15;;1;1518048000;2018-02-8
15;;2334;1518048000;2018-02-8
15;;8123;1518048000;2018-02-8
15;;9084;1518048000;2018-02-8
15;;68457;1518048000;2018-02-8
16;;1;1517702400;2018-02-4
16;;4023;1517702400;2018-02-4
17;;1;1516752000;2018-01-24
17;;11428;1529020800;2018-06-15
18;;1;1515196800;2018-01-6
18;;6170;1515196800;2018-01-6
18;;7265;1515196800;2018-01-6
18;;78226;1515196800;2018-01-6
19;;2;1519430400;2018-02-24
19;;1458;1519430400;2018-02-24
19;;7365;1519430400;2018-02-24
19;;8955;1519430400;2018-02-24
19;;15394;1519430400;2018-02-24
20;;36859;1515542400;2018-01-10
20;;2;1516320000;2018-01-19
21;;3;1523232000;2018-04-9
21;;14094;1523232000;2018-04-9
21;;17605;1523232000;2018-04-9
22;;3;1522022400;2018-03-26
22;;10141;1522022400;2018-03-26
22;;78221;1522022400;2018-03-26
22;;98882;1523404800;2018-04-11
23;;3;1518393600;2018-02-12
23;;3172;1519689600;2018-02-27
24;;3;1516147200;2018-01-17
24;;4880;1516147200;2018-01-17
25;;4;1515542400;2018-01-10
25;;2672;1515542400;2018-01-10
26;;5;1515456000;2018-01-9
26;;32864;1515456000;2018-01-9
27;;5;1514937600;2018-01-3
27;;4752;1519689600;2018-02-27
27;;12717;1519689600;2018-02-27
27;;22860;1519689600;2018-02-27
27;;36204;1519689600;2018-02-27
28;;6;1520812800;2018-03-12
28;;959;1520812800;2018-03-12
28;;959;1520812800;2018-03-12
28;;2895;1520812800;2018-03-12
28;;6972;1520812800;2018-03-12
28;;10800;1520812800;2018-03-12
29;;6;1519516800;2018-02-25
29;;13961;1519516800;2018-02-25
30;;6;1517184000;2018-01-29
30;;9346;1517184000;2018-01-29
30;;12853;1517184000;2018-01-29
31;;6;1515888000;2018-01-14
31;;52951;1530316800;2018-06-30
32;;7;1516147200;2018-01-17
32;;9891;1516147200;2018-01-17
33;;8;1517702400;2018-02-4
33;;4520;1529971200;2018-06-26
34;;8;1517184000;2018-01-29
34;;16396;1517184000;2018-01-29
34;;39360;1528761600;2018-06-12
35;;8;1516492800;2018-01-21
35;;8008;1525737600;2018-05-8
36;;8;1516320000;2018-01-19
36;;11101;1526342400;2018-05-15
37;;28815;1520899200;2018-03-13
37;;9;1520380800;2018-03-7
38;;9;1519603200;2018-02-26
38;;17780;1529107200;2018-06-16
39;;9;1519084800;2018-02-20
39;;18798;1520467200;2018-03-8
40;;9;1518480000;2018-02-13
40;;709;1518480000;2018-02-13
41;;9;1515715200;2018-01-12
41;;12957;1515715200;2018-01-12
41;;16840;1515456000;2018-01-9
41;;5814;1529971200;2018-06-26
42;;9;1514764800;2018-01-1
42;;1311;1514764800;2018-01-1
42;;41314;1514764800;2018-01-1
42;;3485;1516838400;2018-01-25
42;;8610;1516838400;2018-01-25
42;;23081;1518825600;2018-02-17
42;;13770;1519948800;2018-03-2
42;;15772;1519948800;2018-03-2
42;;66240;1519948800;2018-03-2
42;;10729;1522281600;2018-03-29
42;;152;1522281600;2018-03-29
42;;35199;1522281600;2018-03-29
42;;17891;1522281600;2018-03-29
43;;655;1518912000;2018-02-18
43;;10;1525305600;2018-05-3
43;;1569;1525305600;2018-05-3
43;;4135;1525305600;2018-05-3
43;;11814;1525305600;2018-05-3
43;;13900;1525305600;2018-05-3
43;;4458;1525305600;2018-05-3
43;;64331;1525305600;2018-05-3
44;;13035;1524355200;2018-04-22
44;;45816;1524355200;2018-04-22
44;;56677;1524787200;2018-04-27
44;;100153;1524787200;2018-04-27
44;;10;1525132800;2018-05-1
44;;544;1525132800;2018-05-1
44;;10928;1525132800;2018-05-1
44;;9808;1533859200;2018-08-10
45;;10;1523664000;2018-04-14
45;;2029;1523664000;2018-04-14
45;;2819;1523664000;2018-04-14
45;;201;1526428800;2018-05-16
46;;10;1523491200;2018-04-12
46;;78278;1523491200;2018-04-12
47;;10;1522540800;2018-04-1
47;;48857;1522540800;2018-04-1
48;;10;1522281600;2018-03-29
48;;1390;1522281600;2018-03-29
48;;77571;1522281600;2018-03-29
49;;10;1521504000;2018-03-20
49;;1203;1524009600;2018-04-18
49;;126;1522800000;2018-04-4
50;;10;1521504000;2018-03-20
50;;1444;1521504000;2018-03-20
50;;5098;1521504000;2018-03-20
50;;11369;1521504000;2018-03-20
50;;45814;1521504000;2018-03-20
50;;54034;1521504000;2018-03-20
50;;67755;1521504000;2018-03-20
50;;8429;1521763200;2018-03-23
50;;36445;1521763200;2018-03-23
50;;658;1523923200;2018-04-17
50;;8432;1531353600;2018-07-12
51;;10;1521158400;2018-03-16
51;;1650;1521158400;2018-03-16
51;;7926;1521158400;2018-03-16
51;;13443;1521417600;2018-03-19
51;;114;1522108800;2018-03-27
51;;118;1520380800;2018-03-7
51;;125;1520380800;2018-03-7
51;;78748;1529884800;2018-06-25
51;;73132;1530144000;2018-06-28
52;;10;1520208000;2018-03-5
52;;989;1520208000;2018-03-5
52;;12811;1520208000;2018-03-5
52;;74358;1520208000;2018-03-5
53;;1639;1516924800;2018-01-26
53;;11973;1516924800;2018-01-26
53;;10;1519776000;2018-02-28
53;;19;1519776000;2018-02-28
53;;9092;1522627200;2018-04-2
54;;10;1519257600;2018-02-22
54;;1036;1519257600;2018-02-22
54;;1532;1519257600;2018-02-22
