session_id;user_id;item_id;timeframe;eventdate
1;;1;1517270400;2018-01-30
1;;286;1517270400;2018-01-30
1;;863;1517270400;2018-01-30
1;;991;1517270400;2018-01-30
1;;1245;1517270400;2018-01-30
1;;4327;1517270400;2018-01-30
1;;9530;1517270400;2018-01-30
1;;10236;1517270400;2018-01-30
2;;1;1515715200;2018-01-12
2;;4753;1515715200;2018-01-12
2;;12124;1515715200;2018-01-12
2;;23933;1515715200;2018-01-12
3;;1;1515628800;2018-01-11
3;;17381;1523836800;2018-04-16
4;;1;1515628800;2018-01-11
4;;122;1515628800;2018-01-11
4;;771;1515628800;2018-01-11
5;;1;1515110400;2018-01-5
5;;11366;1515110400;2018-01-5
6;;1;1515110400;2018-01-5
6;;2101;1522886400;2018-04-5
6;;3968;1522886400;2018-04-5
7;;2;1517097600;2018-01-28
7;;953;1517097600;2018-01-28
7;;10254;1521417600;2018-03-19
8;;2;1514851200;2018-01-2
8;;193;1514851200;2018-01-2
8;;418;1514851200;2018-01-2
8;;1681;1514851200;2018-01-2
8;;3227;1514851200;2018-01-2
9;;28;1515974400;2018-01-15
9;;3;1515110400;2018-01-5
10;;4;1515196800;2018-01-6
10;;60;1515196800;2018-01-6
11;;2808;1514851200;2018-01-2
11;;2513;1522368000;2018-03-30
11;;5;1523750400;2018-04-15
11;;105;1524182400;2018-04-20
12;;5;1523491200;2018-04-12
12;;679;1523491200;2018-04-12
12;;3231;1523491200;2018-04-12
12;;156;1523491200;2018-04-12
12;;18522;1523491200;2018-04-12
12;;21670;1523491200;2018-04-12
12;;2571;1523491200;2018-04-12
12;;3824;1527552000;2018-05-29
13;;290;1516492800;2018-01-21
13;;5;1523491200;2018-04-12
13;;833;1523491200;2018-04-12
13;;2076;1523491200;2018-04-12
14;;18803;1514764800;2018-01-1
14;;32904;1515801600;2018-01-13
14;;393;1515974400;2018-01-15
14;;1340;1515974400;2018-01-15
14;;13444;1516233600;2018-01-18
14;;2020;1516406400;2018-01-20
14;;2558;1516406400;2018-01-20
14;;27484;1516406400;2018-01-20
14;;19835;1517184000;2018-01-29
14;;29452;1517356800;2018-01-31
14;;24383;1515024000;2018-01-4
14;;31220;1515196800;2018-01-6
